random_num,股票编号,上市年限,所属行业,所属概念板块,code,上市年限计算
2772,46,1994-02-04,批发和零售业,上海自贸区;上海国资改革;含B股的A股;上海本地重组;中国国际进口博览会;地方国企;预增,600822.SH,24
3121,47,2017-10-12,文化、体育和娱乐业,文化传媒概念;近端次新股;次新股;标普道琼斯概念,603103.SH,1
7,48,1991-06-25,综合,涉矿;医保概念;特斯拉;融资融券;珠三角;军民融合;融资融券标的;超涨;手机产业;异质结电池(HIT);标普道琼斯概念;预增;磷酸铁锂电池;锂电负极;锂电正极;石墨烯,szse.000009,27
137,49,1993-11-30,制造业,标普道琼斯概念;超涨;预增;国家队;军民融合;基金重仓(季调);航母,000547.SZ,25
1650,50,2012-01-13,制造业,员工持股;传感器;智能电网;能源互联网,300286.SZ,6
2259,51,1998-12-03,制造业,地方国企;预增;融资融券;融资融券标的,600218.SH,20
1407,52,2010-01-08,制造业,汽车后市场,300041.SZ,8
1218,53,2015-06-10,制造业,二胎政策;可转债,002762.SZ,3
696,54,2008-05-16,制造业,港珠澳大桥;粤港澳大湾区;融资融券;股票质押;标普道琼斯概念;水泥;民营银行;中小创蓝筹;大盘蓝筹;融资融券标的,002233.SZ,10
1853,55,2015-12-23,科学研究和技术服务业,装饰园林;并购阶段(需定增);跨境电商;重组,300492.SZ,3
1738,56,2014-01-27,制造业,大盘蓝筹;重组;股票质押;员工持股;充电桩;珠三角;超涨,300376.SZ,4
1762,57,2014-10-10,制造业,富士康概念;高送转概念;显示屏制造装备;机器视觉;国家队;预减;人工智能;工业4.0,300400.SZ,4
1995,58,2017-05-05,制造业,汽车胎压监测;超涨;次新股,300643.SZ,1
2461,59,2003-12-10,信息传输、软件和信息技术服务业,重组;国产软硬件;核高基;操作系统;阿里巴巴概念,600476.SH,15
1931,60,2016-12-20,制造业,虫害防治,300575.SZ,2
2638,61,1993-10-08,制造业,含B股的A股;创投;地方国企;中国国际进口博览会;预减;上海国资改革;共享单车;上海自贸区,600679.SH,25
2583,62,1992-08-28,制造业,国家队;标普道琼斯概念;含B股的A股;融资融券标的;涉矿;融资融券;股票质押;超涨;增持;浦东新区;重组,600614.SH,26
1843,63,2015-06-30,制造业,肺炎概念;体外诊断;医疗器械;超涨;珠三角;中小创蓝筹;生物疫苗,300482.SZ,3
3075,64,2015-03-25,制造业,,603020.SH,3
3416,65,2017-05-10,制造业,次新股;健康中国,603896.SH,1
751,66,2009-09-03,制造业,超涨;手机产业;小盘成长;重组;股票质押;触摸屏;增持;摘帽,002289.SZ,9
3397,67,2016-10-21,科学研究和技术服务业,预增;充电桩;超涨,603859.SH,2
1817,68,2015-05-14,制造业,集成电路;国家队;智能手表;超涨;芯片国产化;5G应用;股票质押;卫星导航;百度概念,300456.SZ,3
70,69,2007-04-30,制造业,基金重仓(季调);高送转概念;预增;MSCI大盘;制造业单项冠军企业;国产化创新;融资融券;燃料电池;证金概念;白马股;QFII重仓;高端装备制造;一线龙头;标普道琼斯概念;地方国企;大盘蓝筹;融资融券标的;国家队;行业龙头;含H股的A股,000338.SZ,11
190,70,1996-11-08,房地产业,金控平台;预减;东北振兴;融资融券标的;养老产业;融资融券;国家队,000616.SZ,22
3200,71,2015-04-24,制造业,股票质押;超跌,603318.SH,3
165,72,1995-12-20,制造业,重组;举牌;超涨;光纤,000586.SZ,23
2345,73,2002-01-31,交通运输、仓储和邮政业,国家队;一带一路;地方国企;东北振兴;中日韩自贸区;预增,600317.SH,16
271,74,1997-05-20,制造业,液晶显示;新型显示技术;央企;标普道琼斯概念;富士康概念;触摸屏;小米产业链,000727.SZ,21
1818,75,2015-05-14,制造业,珠三角;高送转概念;基金重仓(季调);锂电池;超涨;中小创蓝筹,300457.SZ,3
535,76,2006-10-18,信息传输、软件和信息技术服务业,宽带提速;国家队;举牌;互联网金融,002072.SZ,12
267,77,1997-05-22,电力、热力、燃气及水生产和供应业,地方国企;民营医院;养老产业;预增,000722.SZ,21
2981,78,2014-08-25,制造业,黄酒;国家队;员工持股;可转债,601579.SH,4
1774,79,2014-12-31,制造业,高送转概念;医疗器械;预增;国家队,300412.SZ,4
2527,80,2002-11-08,制造业,中国建材集团;新型显示技术;玻璃;预增;高送转概念;液晶显示;央企;3D玻璃;触摸屏;国资改革;手机外壳;OLED,600552.SH,16
136,81,1993-12-15,制造业,标普道琼斯概念;水泥;东北振兴;预增,000546.SZ,25
1265,82,2016-10-12,制造业,百度概念;物联网;车联网;无人驾驶,002813.SZ,2
2370,83,2003-08-21,采矿业,标普道琼斯概念;融资融券标的;地方国企;二线龙头;国家队;融资融券;MSCI中盘,600348.SH,15
1379,84,2009-10-30,交通运输、仓储和邮政业,股票质押;卫星导航;物流骨干网;智能物流,300013.SZ,9
1392,85,2009-10-30,制造业,股票质押;融资融券;融资融券标的;预增;护城河,300026.SZ,9
2325,86,2000-09-19,制造业,股票质押;预减;融资融券标的;超涨;融资融券,600293.SH,18
3139,87,2017-04-21,制造业,次新股,603139.SH,1
2843,88,2003-11-18,电力、热力、燃气及水生产和供应业,行业龙头;陆股通50;基金重仓(季调);大盘蓝筹;融资融券标的;富时罗素概念;护城河;证金概念;预增;标普道琼斯概念;大央企重组;基金减持;融资融券;万得A50;国家队;煤电重组;MSCI大盘;白马股;央企,600900.SH,15
3405,89,2017-06-14,制造业,次新股;超涨,603879.SH,1
725,90,2008-07-28,制造业,预增;低价小市值;增持;锂电池;网络游戏;锂矿,002263.SZ,10
2449,91,2002-12-19,制造业,高铁;融资融券;风力发电;国家队;超涨;央企;轨道交通;融资融券标的,600458.SH,16
3102,92,2015-06-11,交通运输、仓储和邮政业,智能物流;超涨;高送转概念;举牌,603066.SH,3
684,93,2008-03-06,批发和零售业,MSCI中盘;融资融券标的;标普道琼斯概念;行业龙头;融资融券;可燃冰;大盘蓝筹,002221.SZ,10
485,94,2004-07-21,制造业,医保概念;国家队;流感;融资融券标的;肺炎概念;融资融券;血液制品;生物疫苗;医疗器械;标普道琼斯概念;超涨;体外诊断,002022.SZ,14
1597,95,2011-06-22,制造业,抗生素;国家队,300233.SZ,7
1414,96,2010-01-20,制造业,智能电网;新能源汽车;超涨;电动物流车;机器人;低价小市值;工业4.0,300048.SZ,8
440,97,2000-06-08,制造业,云计算;数字中国;超涨;金融科技;人工智能;电子政务;行业龙头;基金减持;标普道琼斯概念;大消费;地方国企;5G应用;国产化创新;融资融券标的;融资融券;国产软硬件;雄安新区;MSCI中盘;IPV6;自主可控;网络安全;操作系统;科技龙头;护城河;制造业单项冠军企业;大数据,000977.SZ,18
3399,98,2016-03-22,制造业,并购阶段(需定增);轨道交通;含可转债;标普道琼斯概念,603861.SH,2
1386,99,2009-10-30,信息传输、软件和信息技术服务业,智慧医疗;融资融券标的;物联网;车联网;轨道交通;智慧城市;融资融券;阿里巴巴概念;智能交通;虚拟现实,300020.SZ,9
414,100,1999-09-23,电力、热力、燃气及水生产和供应业,股票质押;垃圾发电;融资融券;融资融券标的;国家队;增持;固废处理;雄安新区,000939.SZ,19
2559,101,2001-05-18,信息传输、软件和信息技术服务业,区块链;超涨;云计算;融资融券;国产软硬件;自主可控;标普道琼斯概念;5G应用;国家队;民营银行;移动转售;预增;科技龙头;行业龙头;征信;核高基;融资融券标的;数字中国,600588.SH,17
1946,102,2017-01-11,制造业,出口型企业;高送转概念;物联网;超涨;5G应用,300590.SZ,1
2090,103,2000-12-12,制造业,长三角;沪伦通;证金概念;一线龙头;护城河;万得A50;国家队;QFII重仓;基金重仓(季调);富时罗素概念;大央企重组;行业龙头;陆股通50;可转债;央企;融资融券标的;融资融券;标普道琼斯概念;大盘蓝筹,600019.SH,18
2996,104,2006-11-23,采矿业,地方国企;融资融券;融资融券标的;国家队;基金重仓(季调);小盘成长;标普道琼斯概念,601666.SH,12
394,105,1999-03-25,信息传输、软件和信息技术服务业,融资融券标的;广电系;影视;标普道琼斯概念;文化传媒概念;地方国企;三网融合;超涨;360概念;创投;融资融券,000917.SZ,19
2246,106,1999-06-03,制造业,预增;核电;地方国企;东北振兴,600202.SH,19
1059,107,2011-07-07,制造业,地方国企;国家队,002598.SZ,7
1026,108,2011-03-18,制造业,合资企业;国家队,002565.SZ,7
2518,109,2004-01-07,农、林、牧、渔业,棉花;丝绸之路;*ST;地方国企;新疆振兴;ST概念,600540.SH,14
1914,110,2016-11-04,信息传输、软件和信息技术服务业,预减;文化传媒概念,300556.SZ,2
1303,111,2017-03-21,制造业,预增;次新股;合资企业,002855.SZ,1
257,112,1997-04-11,农、林、牧、渔业,雄安新区;基金重仓(季调);智慧农业;涉矿,000711.SZ,21
340,113,1998-08-07,制造业,甲醇;新型煤化工;MSCI中盘;大盘蓝筹;国家队;标普道琼斯概念;氟化工;融资融券标的;融资融券;行业龙头;地方国企,000830.SZ,20
475,114,2004-07-05,制造业,国家队;氢能;超级电容;预增;并购阶段(需定增);氟化工,002012.SZ,14
978,115,2010-12-07,制造业,标普道琼斯概念;光伏;国家队;360概念,002516.SZ,8
425,116,2000-02-21,制造业,融资融券标的;地方国企;标普道琼斯概念;国家队;小金属;MSCI中盘;融资融券;债转股,000960.SZ,18
606,117,2007-07-20,租赁和商务服务业,文化传媒概念;国家队;股票质押;标普道琼斯概念,002143.SZ,11
1750,118,2014-08-01,水利、环境和公共设施管理业,可转债;PPP;污水处理;国家队;含可转债,300388.SZ,4
2721,119,1996-10-28,采矿业,举牌;最小市值;黄金珠宝,600766.SH,22
490,120,2004-08-04,租赁和商务服务业,文化传媒概念;融资融券标的;预减;珠三角;万得A50;标普道琼斯概念;护城河;中概股回归;合资企业;大盘蓝筹;互联网营销;富时罗素概念;行业龙头;融资融券;股票质押;基金重仓(季调),002027.SZ,14
2282,121,2000-12-07,信息传输、软件和信息技术服务业,文化传媒概念;大数据;舟山新区;互联网营销,600242.SH,18
1504,122,2010-11-12,制造业,国家队;集成电路;智能家居;最小市值;芯片国产化,300139.SZ,8
1169,123,2014-01-23,制造业,手机电池;超涨;基金重仓(季调);手机产业;锂电池;国家队;预减;动力电池;标普道琼斯概念;股票质押;宁德时代产业链;珠三角,002709.SZ,4
399,124,1999-06-18,制造业,国资改革;*ST;核电;国企混改;ST概念;东北振兴;央企,000922.SZ,19
2206,125,1998-03-27,房地产业,网络彩票;标普道琼斯概念;融资融券标的;国家队;体育;文化传媒概念;股权转让;国资改革;特色小镇;海南自贸港;融资融券;世界杯,600158.SH,20
2942,126,2011-05-20,制造业,新材料;聚碳酸酯;国家队,601208.SH,7
2049,127,2017-09-19,制造业,超涨;预增;次新股;近端次新股,300702.SZ,1
2888,128,2010-07-05,交通运输、仓储和邮政业,大盘蓝筹;雄安新区;融资融券标的;MSCI中盘;京津冀一体化;地方国企;融资融券;国家队;河北省国资;标普道琼斯概念,601000.SH,8
284,129,1997-06-25,制造业,涉矿;西藏振兴;啤酒,000752.SZ,21
1299,130,2017-03-02,制造业,超涨;锂电池;预增;宁德时代产业链;基金重仓(季调);标普道琼斯概念,002850.SZ,1
2621,131,1993-05-24,房地产业,地方国企;科技园区;预减,600658.SH,25
1871,132,2016-05-04,农、林、牧、渔业,,300511.SZ,2
1137,133,2012-05-25,制造业,高送转概念;超涨;股权转让,002676.SZ,6
806,134,2010-01-26,租赁和商务服务业,O2O;并购阶段(需定增);特色小镇;国家队;标普道琼斯概念;融资融券标的;地方国企;跨境电商;融资融券;互联网金融,002344.SZ,8
2872,135,2004-06-30,批发和零售业,预减;超涨;地方国企;国家队;护城河;江苏省国资,600981.SH,14
3103,136,2016-09-13,制造业,预增,603067.SH,2
908,137,2010-07-13,制造业,5G;无人驾驶;可转债;物联网;航母;华为概念;标普道琼斯概念;5G应用;射频及天线;军民融合;车联网;移动互联网;超涨;珠三角;含可转债;消费电子产业;基站,002446.SZ,8
671,138,2008-01-28,房地产业,预增;独角兽概念;金控平台;蚂蚁金服;地方国企,002208.SZ,10
1697,139,2012-06-28,信息传输、软件和信息技术服务业,金融科技;国家队;芯片国产化;网络安全;密码学;超涨,300333.SZ,6
610,140,2007-08-08,房地产业,标普道琼斯概念,002147.SZ,11
2741,141,1997-02-26,制造业,流感;禽流感;地方国企;融资融券;生物疫苗;医疗改革;超级细菌;融资融券标的;抗生素;超涨;肺炎概念,600789.SH,21
3070,142,2015-03-03,制造业,工业4.0;机器人;合资企业;制造业单项冠军企业,603015.SH,3
1056,143,2011-06-28,制造业,制造业单项冠军企业;行业龙头;标普道琼斯概念;融资融券标的;国家队;融资融券,002595.SZ,7
407,144,1999-07-12,综合,合资企业;科技园区;特色小镇;小米产业链;车联网;国家队;抗核辐射,000931.SZ,19
3100,145,2016-11-09,科学研究和技术服务业,标普道琼斯概念,603060.SH,2
283,146,1997-06-26,制造业,东北振兴;央企;国家队;重组;标普道琼斯概念,000751.SZ,21
750,147,2009-09-03,制造业,智慧城市;重组;民营银行;集成电路;超涨;电路板;预减;智能穿戴,002288.SZ,9
1143,148,2012-06-12,交通运输、仓储和邮政业,油气改革;地方国企;职业教育;国家队,002682.SZ,6
2886,149,2010-11-02,批发和零售业,MSCI大盘;国家队;行业龙头;基金重仓(季调);融资融券标的;智慧医疗;可转债;含可转债;一线龙头;护城河;民营银行;标普道琼斯概念;融资融券;医疗改革;股票质押;医药电商,600998.SH,8
2033,150,2017-08-02,制造业,合资企业;基因检测;超涨;次新股,300685.SZ,1
3331,151,2015-01-26,制造业,超涨;PPP;标普道琼斯概念;环保概念;股票质押,603686.SH,3
2898,152,2011-03-09,制造业,预减;石墨烯;锂电池;新型煤化工,601011.SH,7
419,153,1999-11-12,制造业,预减;地方国企;医疗改革;出口型企业;维生素;医保概念,000952.SZ,19
2101,154,2003-07-03,制造业,基金重仓(季调);可转债;社保重仓;基金重仓;民营银行;MSCI大盘;5G应用;国家队;高端装备制造;融资融券标的;大盘蓝筹;标普道琼斯概念;挖掘机;一带一路;基金减持;军民融合;行业龙头;融资融券,600031.SH,15
2175,155,1997-12-01,批发和零售业,地方国企;金融改革;融资融券标的;量子技术;参股金融;供应链金融;预增;融资融券;金控平台;期货概念;国家队;护城河;债转股,600120.SH,21
711,156,2008-06-12,制造业,*ST;重组;ST概念;机床;高端装备制造,002248.SZ,10
3122,157,2017-09-20,制造业,标普道琼斯概念;次新股;近端次新股,603106.SH,1
1614,158,2011-08-03,制造业,国家队;大数据;小程序;超涨;移动互联网;宽带提速,300250.SZ,7
351,159,1998-11-26,制造业,页岩气;高端装备制造;国家队;雄安新区;央企;预增;可燃冰;国企混改;制造业单项冠军企业,000852.SZ,20
774,160,2009-12-03,制造业,智能物流;超涨;员工持股;征信;*ST;安防监控,002312.SZ,9
1114,161,2012-01-17,制造业,融资融券标的;股票质押;国家队;西藏振兴;医保概念;预增;医疗器械;标普道琼斯概念;融资融券,002653.SZ,6
26,162,1993-10-28,批发和零售业,并购阶段(需定增);重组;绿色节能照明;预增;央企;超涨,szse.000032,25
2525,163,2001-02-28,制造业,雄安新区;异质结电池(HIT);央企;特高压;超涨;并购阶段(需定增),600550.SH,17
1674,164,2012-04-25,信息传输、软件和信息技术服务业,物联网;网络优化;超涨;网络规划建设;智慧医疗;车联网,300310.SZ,6
3270,165,2016-11-10,制造业,预增;基金重仓(季调);行业龙头;标普道琼斯概念,603556.SH,2
2267,166,2000-02-21,制造业,医疗器械;可转债;股票质押;超涨;合资企业;新型煤化工;甲醇,600227.SH,18
1239,167,2015-12-23,制造业,,002785.SZ,3
2901,168,2014-09-29,电力、热力、燃气及水生产和供应业,国资改革;社保重仓;标普道琼斯概念;预增;风力发电,601016.SH,4
3067,169,2014-10-10,制造业,并购阶段(需定增);芯片国产化;苹果;重组,603010.SH,4
546,170,2006-11-24,制造业,国家队;含可转债;可转债;超涨;人民币贬值;预增;异质结电池(HIT),002083.SZ,12
3344,171,2017-03-27,建筑业,装饰园林;次新股;雄安新区,603717.SH,1
3085,172,2016-08-22,批发和零售业,预增;最小市值;超涨,603031.SH,2
3314,173,2017-12-29,制造业,次新股;封板新股;超涨,603655.SH,1
368,174,1998-05-19,电力、热力、燃气及水生产和供应业,MSCI大盘;融资融券标的;预增;融资融券;国家队;标普道琼斯概念,000883.SZ,20
1326,175,2017-07-07,制造业,次新股;标普道琼斯概念;超涨,002879.SZ,1
798,176,2010-01-13,批发和零售业,新零售,002336.SZ,8
178,177,1996-08-30,电力、热力、燃气及水生产和供应业,CDM项目;标普道琼斯概念;新能源汽车;股票质押;垃圾发电;举牌,000601.SZ,22
1159,178,2012-09-11,制造业,工业4.0;5G应用;医疗器械;标普道琼斯概念;预增;一带一路;机器人,002698.SZ,6
3354,179,2016-06-03,制造业,标普道琼斯概念;预增;超涨,603737.SH,2
89,180,1996-08-15,制造业,低价小市值;地方国企;国家队;甲醇,000422.SZ,22
1323,181,2017-05-25,制造业,新型显示技术;国产化创新;预增;手机屏幕;次新股;液晶显示,002876.SZ,1
211,182,1996-11-18,制造业,基金重仓(季调);一线龙头;行业龙头;国产化创新;新能源汽车;大盘蓝筹;广东省国资;港珠澳大桥;基金重仓;品牌龙头;融资融券;QFII重仓;万得A50;大消费;标普道琼斯概念;护城河;消费电子产业;证金概念;融资融券标的;国家队;社保重仓;地方国企;珠三角;白马股;富时罗素概念,000651.SZ,22
1525,183,2011-01-13,制造业,K-12教育;超涨;国家队;员工持股;在线教育;玻璃,300160.SZ,7
1950,184,2017-01-17,制造业,医疗器械;高送转概念,300595.SZ,1
1665,185,2012-03-21,制造业,K-12教育;股票质押;绿色节能照明;出口型企业,300301.SZ,6
3028,186,2011-08-18,建筑业,国家队;融资融券标的;股票质押;民营医院;装配式建筑;健康中国;民营银行;融资融券;装饰园林,601886.SH,7
3312,187,2017-01-12,制造业,虫害防治;标普道琼斯概念,603639.SH,1
479,188,2004-07-08,房地产业,股票质押;融资融券;港珠澳大桥;预减;粤港澳自贸区;粤港澳大湾区;养老金概念;融资融券标的;标普道琼斯概念;国家队,002016.SZ,14
853,189,2010-04-16,制造业,可转债;虫害防治;含可转债;出口型企业;草甘膦;预增;国家队,002391.SZ,8
298,190,1997-07-10,制造业,核电;央企;融资融券标的;国家队;一带一路;融资融券;新能源;预增,000777.SZ,21
3178,191,2017-10-30,制造业,预减;次新股;二线龙头;标普道琼斯概念;近端次新股,603260.SH,1
1262,192,2016-08-26,制造业,人民币贬值;预增,002810.SZ,2
3463,193,2015-03-02,制造业,标普道琼斯概念,603997.SH,3
3227,194,2014-12-04,批发和零售业,员工持股;含可转债;标普道琼斯概念;基金重仓(季调),603368.SH,4
1536,195,2011-02-01,制造业,预增;医疗器械,300171.SZ,7
1611,196,2011-07-29,制造业,健康中国;保底增持;医疗器械;超涨;养老产业,300247.SZ,7
162,197,1995-11-02,交通运输、仓储和邮政业,北部湾自贸区;预增;标普道琼斯概念;并购阶段(需定增);一带一路;地方国企;国家队,000582.SZ,23
46,198,1997-01-30,批发和零售业,融资融券;标普道琼斯概念;出口型企业;国家队;珠三角;激光;融资融券标的;雄安新区;电子商务;大盘蓝筹,szse.000062,21
208,199,1996-11-26,批发和零售业,京津冀一体化;股权转让;智慧医疗;重组,000638.SZ,22
1413,200,2010-01-20,信息传输、软件和信息技术服务业,IPV6;阿里巴巴概念;电子政务;大数据;三网融合,300047.SZ,8
2038,201,2017-08-08,制造业,风力发电;次新股;预增;出口型企业,300690.SZ,1
717,202,2008-06-25,制造业,国家队;预增;地方国企;新材料;标普道琼斯概念;军民融合,002254.SZ,10
3308,203,2016-11-17,制造业,超涨,603633.SH,2
2067,204,2017-11-10,制造业,军民融合;小盘绩优;次新股;近端次新股,300722.SZ,1
2279,205,1999-12-02,房地产业,地方国企;股票质押;标普道琼斯概念;并购阶段(需定增);养老产业;融资融券;融资融券标的,600239.SH,19
40,206,1996-04-15,制造业,预减;小盘成长;建筑节能;轨道交通;含B股的A股;股票质押;光伏,szse.000055,22
2751,207,1993-12-06,制造业,融资融券;地方国企;融资融券标的;智能IC卡;天津市国资;国企混改,600800.SH,25
1585,208,2011-05-25,制造业,重组;预增;超涨;新材料;聚碳酸酯;小金属;3D打印,300221.SZ,7
1722,209,2014-01-21,制造业,知识产权;制造业单项冠军企业;机器人;国家队;超涨;股票质押;医疗器械,300358.SZ,4
2528,210,2001-03-28,房地产业,含B股的A股;超涨;低价小市值;赛马,600555.SH,17
2335,211,2000-12-26,批发和零售业,最小市值;东北振兴;汽车后市场;车联网;重组;合资企业,600306.SH,18
2577,212,1992-03-27,制造业,地方国企;ST概念;*ST;浦东新区,600608.SH,26
2066,213,2017-11-15,制造业,次新股;预减;近端次新股,300721.SZ,1
3244,214,2017-01-24,制造业,高送转概念,603429.SH,1
3238,215,2016-09-12,电力、热力、燃气及水生产和供应业,超涨,603393.SH,2
2080,216,1999-03-12,房地产业,大盘蓝筹;合资企业;中字头;标普道琼斯概念;融资融券标的;预增;融资融券,600007.SH,19
3189,217,2015-12-31,制造业,预增;并购阶段(需定增);地方国企;江苏省国资,603299.SH,3
3020,218,2017-01-18,文化、体育和娱乐业,文化传媒概念;知识产权;高校;标普道琼斯概念,601858.SH,1
3411,219,2016-12-28,制造业,打板;合资企业,603886.SH,2
2402,220,2001-07-23,制造业,最小市值;举牌;大数据;黄金珠宝,600385.SH,17
576,221,2007-02-08,信息传输、软件和信息技术服务业,国家队;网络游戏;世界杯,002113.SZ,11
3131,222,2014-07-31,科学研究和技术服务业,合同能源管理;标普道琼斯概念;预增,603126.SH,4
588,223,2007-04-03,制造业,国家队;出口型企业;预增;锂电正极;股票质押;污水处理;超涨;小金属;地方国企,002125.SZ,11
856,224,2010-04-23,制造业,人民币贬值;国家队;股票质押;棉花,002394.SZ,8
1849,225,2015-07-01,制造业,预增,300488.SZ,3
320,226,1998-03-03,制造业,重组;地方国企;增持;ST概念;*ST;成渝特区;举牌,000803.SZ,20
891,227,2010-06-10,制造业,员工持股;标普道琼斯概念;消费电子产业;高送转概念;超涨;智能电视;融资融券标的;珠三角;融资融券;预增,002429.SZ,8
234,228,1997-01-21,文化、体育和娱乐业,IP流量变现;MSCI中盘;文化传媒概念;标普道琼斯概念;员工持股,000681.SZ,21
2269,229,2000-03-09,文化、体育和娱乐业,融资融券标的;蚂蚁金服;融资融券;地方国企;文化传媒概念,600229.SH,18
1719,230,2012-09-27,水利、环境和公共设施管理业,融资融券标的;PPP;装饰园林;基金重仓(季调);美丽中国;特色小镇;融资融券;中小创蓝筹;预减,300355.SZ,6
1881,231,2016-07-05,制造业,预减;高送转概念,300521.SZ,2
1810,232,2015-04-24,信息传输、软件和信息技术服务业,股票质押;超涨;国家队;国产软硬件;安防监控,300448.SZ,3
2031,233,2017-08-08,制造业,次新股;超涨,300683.SZ,1
